type,storm,discount,cost,benefit,ratio,net,ecosystem,net_ecosystem
NBA,20,0,1017.348462,11654.89183,11.45614533,10637.54337,214.4664538,10852.00982
NBA,50,0,1017.348462,6391.506367,6.282514405,5374.157905,214.4664538,5588.624359
NBA,75,0,1017.348462,5221.865153,5.132818644,4204.516691,214.4664538,4418.983145
NBA,100,0,1017.348462,4637.044546,4.557970763,3619.696084,214.4664538,3834.162538
NBA,200,0,1017.348462,3759.813636,3.695698943,2742.465174,214.4664538,2956.931628
NBA,20,1,1017.348462,7086.236857,6.965397916,6068.888395,138.7823336,6207.670729
NBA,50,1,1017.348462,3785.940108,3.721379891,2768.591646,138.7823336,2907.37398
NBA,75,1,1017.348462,3052.540831,3.000486996,2035.192369,138.7823336,2173.974703
NBA,100,1,1017.348462,2685.841192,2.640040549,1668.49273,138.7823336,1807.275064
NBA,200,1,1017.348462,2135.791734,2.099370878,1118.443272,138.7823336,1257.225606
NBA,20,3,1017.348462,3234.191552,3.179040096,2216.84309,69.60482584,2286.447916
NBA,50,3,1017.348462,1675.765197,1.647189001,658.4167347,69.60482584,728.0215605
NBA,75,3,1017.348462,1329.448229,1.306777646,312.0997667,69.60482584,381.7045925
NBA,100,3,1017.348462,1156.289745,1.136571969,138.9412827,69.60482584,208.5461085
NBA,200,3,1017.348462,896.5520188,0.881263453,-120.7964432,69.60482584,-51.19161736
NBA,20,5,1017.348462,1878.616853,1.846581504,861.2683912,42.42704321,903.6954344
NBA,50,5,1017.348462,972.3038866,0.955723553,-45.0445754,42.42704321,-2.617532191
NBA,75,5,1017.348462,770.9010051,0.757755119,-246.4474569,42.42704321,-204.0204137
NBA,100,5,1017.348462,670.1995644,0.658770902,-347.1488976,42.42704321,-304.7218544
NBA,200,5,1017.348462,519.1474033,0.510294577,-498.2010587,42.42704321,-455.7740155
NBA,20,6,1017.348462,1530.00064,1.503910113,512.6521784,34.93587381,547.5880522
NBA,50,6,1017.348462,796.6788364,0.783093371,-220.6696256,34.93587381,-185.7337518
NBA,75,6,1017.348462,633.7184355,0.622911873,-383.6300265,34.93587381,-348.6941527
NBA,100,6,1017.348462,552.238235,0.542821123,-465.110227,34.93587381,-430.1743532
NBA,200,6,1017.348462,430.0179344,0.422685,-587.3305276,34.93587381,-552.3946538
CCA,20,0,1153.096384,13087.24715,11.34965587,11934.15076,0,11934.15076
CCA,50,0,1153.096384,7338.251085,6.363952907,6185.154701,0,6185.154701
CCA,75,0,1153.096384,6060.696404,5.256018914,4907.60002,0,4907.60002
CCA,100,0,1153.096384,5421.919064,4.702051918,4268.82268,0,4268.82268
CCA,200,0,1153.096384,4463.753053,3.871101423,3310.656669,0,3310.656669
CCA,20,1,1153.096384,7905.768688,6.856121307,6752.672304,0,6752.672304
CCA,50,1,1153.096384,4318.755171,3.745354881,3165.658787,0,3165.658787
CCA,75,1,1153.096384,3521.641056,3.054073453,2368.544672,0,2368.544672
CCA,100,1,1153.096384,3123.083998,2.708432739,1969.987614,0,1969.987614
CCA,200,1,1153.096384,2525.248412,2.189971669,1372.152028,0,1372.152028
CCA,20,3,1153.096384,3574.885914,3.100249002,2421.78953,0,2421.78953
CCA,50,3,1153.096384,1893.994341,1.642529079,740.8979571,0,740.8979571
CCA,75,3,1153.096384,1520.462881,1.318591318,367.3664966,0,367.3664966
CCA,100,3,1153.096384,1333.69715,1.156622438,180.6007663,0,180.6007663
CCA,200,3,1153.096384,1053.548555,0.913669117,-99.54782907,0,-99.54782907
CCA,20,5,1153.096384,2070.335451,1.795457414,917.2390674,0,917.2390674
CCA,50,5,1153.096384,1096.483994,0.950904026,-56.61238956,0,-56.61238956
CCA,75,5,1153.096384,880.0725595,0.763225496,-273.0238245,0,-273.0238245
CCA,100,5,1153.096384,771.8668421,0.669386231,-381.2295419,0,-381.2295419
CCA,200,5,1153.096384,609.5582659,0.528627333,-543.5381181,0,-543.5381181
CCA,20,6,1153.096384,1686.612765,1.462681514,533.5163806,0,533.5163806
CCA,50,6,1153.096384,899.1686051,0.779786163,-253.9277789,0,-253.9277789
CCA,75,6,1153.096384,724.1810141,0.628031641,-428.9153699,0,-428.9153699
CCA,100,6,1153.096384,636.6872186,0.55215438,-516.4091654,0,-516.4091654
CCA,200,6,1153.096384,505.4465253,0.438338488,-647.6498587,0,-647.6498587
