type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
CCA,20,0,2030,erosion,1153.096384,431.1629554,0.373917533,-721.9334286,0,-721.9334286
NBA,20,0,2030,erosion,1017.348462,352.6351841,0.346621828,-664.7132779,214.4664538,-450.2468241
CCA,50,0,2030,erosion,1153.096384,431.1629554,0.373917533,-721.9334286,0,-721.9334286
NBA,50,0,2030,erosion,1017.348462,352.6351841,0.346621828,-664.7132779,214.4664538,-450.2468241
CCA,75,0,2030,erosion,1153.096384,431.1629554,0.373917533,-721.9334286,0,-721.9334286
NBA,75,0,2030,erosion,1017.348462,352.6351841,0.346621828,-664.7132779,214.4664538,-450.2468241
CCA,100,0,2030,erosion,1153.096384,431.1629554,0.373917533,-721.9334286,0,-721.9334286
NBA,100,0,2030,erosion,1017.348462,352.6351841,0.346621828,-664.7132779,214.4664538,-450.2468241
CCA,200,0,2030,erosion,1153.096384,431.1629554,0.373917533,-721.9334286,0,-721.9334286
NBA,200,0,2030,erosion,1017.348462,352.6351841,0.346621828,-664.7132779,214.4664538,-450.2468241
CCA,20,0,2060,erosion,1153.096384,735.7542008,0.638068258,-417.3421832,0,-417.3421832
NBA,20,0,2060,erosion,1017.348462,610.3593603,0.599951131,-406.9891017,214.4664538,-192.5226479
CCA,50,0,2060,erosion,1153.096384,735.7542008,0.638068258,-417.3421832,0,-417.3421832
NBA,50,0,2060,erosion,1017.348462,610.3593603,0.599951131,-406.9891017,214.4664538,-192.5226479
CCA,75,0,2060,erosion,1153.096384,735.7542008,0.638068258,-417.3421832,0,-417.3421832
NBA,75,0,2060,erosion,1017.348462,610.3593603,0.599951131,-406.9891017,214.4664538,-192.5226479
CCA,100,0,2060,erosion,1153.096384,735.7542008,0.638068258,-417.3421832,0,-417.3421832
NBA,100,0,2060,erosion,1017.348462,610.3593603,0.599951131,-406.9891017,214.4664538,-192.5226479
CCA,200,0,2060,erosion,1153.096384,735.7542008,0.638068258,-417.3421832,0,-417.3421832
NBA,200,0,2060,erosion,1017.348462,610.3593603,0.599951131,-406.9891017,214.4664538,-192.5226479
CCA,20,0,2100,erosion,1153.096384,780.7457039,0.677086248,-372.3506801,0,-372.3506801
NBA,20,0,2100,erosion,1017.348462,650.2447541,0.639156374,-367.1037079,214.4664538,-152.637254
CCA,50,0,2100,erosion,1153.096384,780.7457039,0.677086248,-372.3506801,0,-372.3506801
NBA,50,0,2100,erosion,1017.348462,650.2447541,0.639156374,-367.1037079,214.4664538,-152.637254
CCA,75,0,2100,erosion,1153.096384,780.7457039,0.677086248,-372.3506801,0,-372.3506801
NBA,75,0,2100,erosion,1017.348462,650.2447541,0.639156374,-367.1037079,214.4664538,-152.637254
CCA,100,0,2100,erosion,1153.096384,780.7457039,0.677086248,-372.3506801,0,-372.3506801
NBA,100,0,2100,erosion,1017.348462,650.2447541,0.639156374,-367.1037079,214.4664538,-152.637254
CCA,200,0,2100,erosion,1153.096384,780.7457039,0.677086248,-372.3506801,0,-372.3506801
NBA,200,0,2100,erosion,1017.348462,650.2447541,0.639156374,-367.1037079,214.4664538,-152.637254
CCA,20,0,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,20,0,Current,erosion,1017.348462,0,0,-1017.348462,214.4664538,-802.8820082
CCA,50,0,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,50,0,Current,erosion,1017.348462,0,0,-1017.348462,214.4664538,-802.8820082
CCA,75,0,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,75,0,Current,erosion,1017.348462,0,0,-1017.348462,214.4664538,-802.8820082
CCA,100,0,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,100,0,Current,erosion,1017.348462,0,0,-1017.348462,214.4664538,-802.8820082
CCA,200,0,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,200,0,Current,erosion,1017.348462,0,0,-1017.348462,214.4664538,-802.8820082
CCA,20,0,total,erosion,1153.096384,1550.213579,1.344392022,397.1171947,0,397.1171947
NBA,20,0,total,erosion,1017.348462,1290.901568,1.268888307,273.5531055,214.4664538,488.0195594
CCA,50,0,total,erosion,1153.096384,1550.213579,1.344392022,397.1171947,0,397.1171947
NBA,50,0,total,erosion,1017.348462,1290.901568,1.268888307,273.5531055,214.4664538,488.0195594
CCA,75,0,total,erosion,1153.096384,1550.213579,1.344392022,397.1171947,0,397.1171947
NBA,75,0,total,erosion,1017.348462,1290.901568,1.268888307,273.5531055,214.4664538,488.0195594
CCA,100,0,total,erosion,1153.096384,1550.213579,1.344392022,397.1171947,0,397.1171947
NBA,100,0,total,erosion,1017.348462,1290.901568,1.268888307,273.5531055,214.4664538,488.0195594
CCA,200,0,total,erosion,1153.096384,1550.213579,1.344392022,397.1171947,0,397.1171947
NBA,200,0,total,erosion,1017.348462,1290.901568,1.268888307,273.5531055,214.4664538,488.0195594
CCA,20,1,2030,erosion,1153.096384,367.7049358,0.318884823,-785.3914482,0,-785.3914482
NBA,20,1,2030,erosion,1017.348462,300.7347828,0.295606465,-716.6136792,138.7823336,-577.8313456
CCA,50,1,2030,erosion,1153.096384,367.7049358,0.318884823,-785.3914482,0,-785.3914482
NBA,50,1,2030,erosion,1017.348462,300.7347828,0.295606465,-716.6136792,138.7823336,-577.8313456
CCA,75,1,2030,erosion,1153.096384,367.7049358,0.318884823,-785.3914482,0,-785.3914482
NBA,75,1,2030,erosion,1017.348462,300.7347828,0.295606465,-716.6136792,138.7823336,-577.8313456
CCA,100,1,2030,erosion,1153.096384,367.7049358,0.318884823,-785.3914482,0,-785.3914482
NBA,100,1,2030,erosion,1017.348462,300.7347828,0.295606465,-716.6136792,138.7823336,-577.8313456
CCA,200,1,2030,erosion,1153.096384,367.7049358,0.318884823,-785.3914482,0,-785.3914482
NBA,200,1,2030,erosion,1017.348462,300.7347828,0.295606465,-716.6136792,138.7823336,-577.8313456
CCA,20,1,2060,erosion,1153.096384,465.5320185,0.403723422,-687.5643655,0,-687.5643655
NBA,20,1,2060,erosion,1017.348462,386.1912371,0.379605663,-631.1572249,138.7823336,-492.3748913
CCA,50,1,2060,erosion,1153.096384,465.5320185,0.403723422,-687.5643655,0,-687.5643655
NBA,50,1,2060,erosion,1017.348462,386.1912371,0.379605663,-631.1572249,138.7823336,-492.3748913
CCA,75,1,2060,erosion,1153.096384,465.5320185,0.403723422,-687.5643655,0,-687.5643655
NBA,75,1,2060,erosion,1017.348462,386.1912371,0.379605663,-631.1572249,138.7823336,-492.3748913
CCA,100,1,2060,erosion,1153.096384,465.5320185,0.403723422,-687.5643655,0,-687.5643655
NBA,100,1,2060,erosion,1017.348462,386.1912371,0.379605663,-631.1572249,138.7823336,-492.3748913
CCA,200,1,2060,erosion,1153.096384,465.5320185,0.403723422,-687.5643655,0,-687.5643655
NBA,200,1,2060,erosion,1017.348462,386.1912371,0.379605663,-631.1572249,138.7823336,-492.3748913
CCA,20,1,2100,erosion,1153.096384,331.7962382,0.287743716,-821.3001458,0,-821.3001458
NBA,20,1,2100,erosion,1017.348462,276.3367922,0.271624524,-741.0116698,138.7823336,-602.2293362
CCA,50,1,2100,erosion,1153.096384,331.7962382,0.287743716,-821.3001458,0,-821.3001458
NBA,50,1,2100,erosion,1017.348462,276.3367922,0.271624524,-741.0116698,138.7823336,-602.2293362
CCA,75,1,2100,erosion,1153.096384,331.7962382,0.287743716,-821.3001458,0,-821.3001458
NBA,75,1,2100,erosion,1017.348462,276.3367922,0.271624524,-741.0116698,138.7823336,-602.2293362
CCA,100,1,2100,erosion,1153.096384,331.7962382,0.287743716,-821.3001458,0,-821.3001458
NBA,100,1,2100,erosion,1017.348462,276.3367922,0.271624524,-741.0116698,138.7823336,-602.2293362
CCA,200,1,2100,erosion,1153.096384,331.7962382,0.287743716,-821.3001458,0,-821.3001458
NBA,200,1,2100,erosion,1017.348462,276.3367922,0.271624524,-741.0116698,138.7823336,-602.2293362
CCA,20,1,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,20,1,Current,erosion,1017.348462,0,0,-1017.348462,138.7823336,-878.5661284
CCA,50,1,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,50,1,Current,erosion,1017.348462,0,0,-1017.348462,138.7823336,-878.5661284
CCA,75,1,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,75,1,Current,erosion,1017.348462,0,0,-1017.348462,138.7823336,-878.5661284
CCA,100,1,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,100,1,Current,erosion,1017.348462,0,0,-1017.348462,138.7823336,-878.5661284
CCA,200,1,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,200,1,Current,erosion,1017.348462,0,0,-1017.348462,138.7823336,-878.5661284
CCA,20,1,total,erosion,1153.096384,970.2638207,0.841442081,-182.8325633,0,-182.8325633
NBA,20,1,total,erosion,1017.348462,806.2251334,0.792476878,-211.1233286,138.7823336,-72.34099502
CCA,50,1,total,erosion,1153.096384,970.2638207,0.841442081,-182.8325633,0,-182.8325633
NBA,50,1,total,erosion,1017.348462,806.2251334,0.792476878,-211.1233286,138.7823336,-72.34099502
CCA,75,1,total,erosion,1153.096384,970.2638207,0.841442081,-182.8325633,0,-182.8325633
NBA,75,1,total,erosion,1017.348462,806.2251334,0.792476878,-211.1233286,138.7823336,-72.34099502
CCA,100,1,total,erosion,1153.096384,970.2638207,0.841442081,-182.8325633,0,-182.8325633
NBA,100,1,total,erosion,1017.348462,806.2251334,0.792476878,-211.1233286,138.7823336,-72.34099502
CCA,200,1,total,erosion,1153.096384,970.2638207,0.841442081,-182.8325633,0,-182.8325633
NBA,200,1,total,erosion,1017.348462,806.2251334,0.792476878,-211.1233286,138.7823336,-72.34099502
CCA,20,3,2030,erosion,1153.096384,268.6864992,0.233013045,-884.4098848,0,-884.4098848
NBA,20,3,2030,erosion,1017.348462,219.7505883,0.216003264,-797.5978737,69.60482584,-727.9930479
CCA,50,3,2030,erosion,1153.096384,268.6864992,0.233013045,-884.4098848,0,-884.4098848
NBA,50,3,2030,erosion,1017.348462,219.7505883,0.216003264,-797.5978737,69.60482584,-727.9930479
CCA,75,3,2030,erosion,1153.096384,268.6864992,0.233013045,-884.4098848,0,-884.4098848
NBA,75,3,2030,erosion,1017.348462,219.7505883,0.216003264,-797.5978737,69.60482584,-727.9930479
CCA,100,3,2030,erosion,1153.096384,268.6864992,0.233013045,-884.4098848,0,-884.4098848
NBA,100,3,2030,erosion,1017.348462,219.7505883,0.216003264,-797.5978737,69.60482584,-727.9930479
CCA,200,3,2030,erosion,1153.096384,268.6864992,0.233013045,-884.4098848,0,-884.4098848
NBA,200,3,2030,erosion,1017.348462,219.7505883,0.216003264,-797.5978737,69.60482584,-727.9930479
CCA,20,3,2060,erosion,1153.096384,188.8949789,0.163815429,-964.2014051,0,-964.2014051
NBA,20,3,2060,erosion,1017.348462,156.7015429,0.15402937,-860.6469191,69.60482584,-791.0420932
CCA,50,3,2060,erosion,1153.096384,188.8949789,0.163815429,-964.2014051,0,-964.2014051
NBA,50,3,2060,erosion,1017.348462,156.7015429,0.15402937,-860.6469191,69.60482584,-791.0420932
CCA,75,3,2060,erosion,1153.096384,188.8949789,0.163815429,-964.2014051,0,-964.2014051
NBA,75,3,2060,erosion,1017.348462,156.7015429,0.15402937,-860.6469191,69.60482584,-791.0420932
CCA,100,3,2060,erosion,1153.096384,188.8949789,0.163815429,-964.2014051,0,-964.2014051
NBA,100,3,2060,erosion,1017.348462,156.7015429,0.15402937,-860.6469191,69.60482584,-791.0420932
CCA,200,3,2060,erosion,1153.096384,188.8949789,0.163815429,-964.2014051,0,-964.2014051
NBA,200,3,2060,erosion,1017.348462,156.7015429,0.15402937,-860.6469191,69.60482584,-791.0420932
CCA,20,3,2100,erosion,1153.096384,61.44807448,0.053289626,-1091.64831,0,-1091.64831
NBA,20,3,2100,erosion,1017.348462,51.17708351,0.05030438,-966.1713785,69.60482584,-896.5665527
CCA,50,3,2100,erosion,1153.096384,61.44807448,0.053289626,-1091.64831,0,-1091.64831
NBA,50,3,2100,erosion,1017.348462,51.17708351,0.05030438,-966.1713785,69.60482584,-896.5665527
CCA,75,3,2100,erosion,1153.096384,61.44807448,0.053289626,-1091.64831,0,-1091.64831
NBA,75,3,2100,erosion,1017.348462,51.17708351,0.05030438,-966.1713785,69.60482584,-896.5665527
CCA,100,3,2100,erosion,1153.096384,61.44807448,0.053289626,-1091.64831,0,-1091.64831
NBA,100,3,2100,erosion,1017.348462,51.17708351,0.05030438,-966.1713785,69.60482584,-896.5665527
CCA,200,3,2100,erosion,1153.096384,61.44807448,0.053289626,-1091.64831,0,-1091.64831
NBA,200,3,2100,erosion,1017.348462,51.17708351,0.05030438,-966.1713785,69.60482584,-896.5665527
CCA,20,3,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,20,3,Current,erosion,1017.348462,0,0,-1017.348462,69.60482584,-947.7436362
CCA,50,3,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,50,3,Current,erosion,1017.348462,0,0,-1017.348462,69.60482584,-947.7436362
CCA,75,3,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,75,3,Current,erosion,1017.348462,0,0,-1017.348462,69.60482584,-947.7436362
CCA,100,3,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,100,3,Current,erosion,1017.348462,0,0,-1017.348462,69.60482584,-947.7436362
CCA,200,3,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,200,3,Current,erosion,1017.348462,0,0,-1017.348462,69.60482584,-947.7436362
CCA,20,3,total,erosion,1153.096384,532.5869695,0.4618755,-620.5094145,0,-620.5094145
NBA,20,3,total,erosion,1017.348462,440.3905811,0.432880766,-576.9578809,69.60482584,-507.3530551
