type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
NBA,20,0,Current,tide,1017.348462,0.000520369,0.0000005115,-1017.347942,214.4664538,-802.8814878
CCA,20,0,Current,tide,1153.096384,0.000646805,0.0000005609,-1153.095737,0,-1153.095737
NBA,20,0,Current,storm,1017.348462,0.099164014,0.0000974730,-1017.249298,214.4664538,-802.7828442
CCA,20,0,Current,storm,1153.096384,0.106294377,0.0000921817,-1152.99009,0,-1152.99009
NBA,20,0,Current,wave,1017.348462,81.52712742,0.0801368759,-935.8213346,214.4664538,-721.3548808
CCA,20,0,Current,wave,1153.096384,89.87091329,0.0779387695,-1063.225471,0,-1063.225471
NBA,20,0,Current,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,20,0,Current,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,20,0,Current,total,1017.348462,105.1358241,0.1033429823,-912.2126379,214.4664538,-697.7461841
CCA,20,0,Current,total,1153.096384,118.7220515,0.1029593477,-1034.374333,0,-1034.374333
NBA,20,0,2030,tide,1017.348462,0.062444324,0.0000613795,-1017.286018,214.4664538,-802.8195639
CCA,20,0,2030,tide,1153.096384,0.077616575,0.0000673114,-1153.018767,0,-1153.018767
NBA,20,0,2030,storm,1017.348462,1.449369541,0.0014246540,-1015.899092,214.4664538,-801.4326386
CCA,20,0,2030,storm,1153.096384,6.242977052,0.0054140982,-1146.853407,0,-1146.853407
NBA,20,0,2030,wave,1017.348462,967.2959582,0.9508010228,-50.0525038,214.4664538,164.41395
CCA,20,0,2030,wave,1153.096384,1034.00103,0.8967169131,-119.095354,0,-119.095354
NBA,20,0,2030,erosion,1017.348462,352.6351841,0.3466218284,-664.7132779,214.4664538,-450.2468241
CCA,20,0,2030,erosion,1153.096384,431.1629554,0.3739175331,-721.9334286,0,-721.9334286
NBA,20,0,2030,total,1017.348462,1321.442956,1.2989088847,304.0944941,214.4664538,518.560948
CCA,20,0,2030,total,1153.096384,1471.484579,1.2761158559,318.388195,0,318.388195
NBA,20,0,2060,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,20,0,2060,tide,1153.096384,0.068561308,0.0000594584,-1153.027823,0,-1153.027823
NBA,20,0,2060,storm,1017.348462,1.414015542,0.0013899029,-1015.934446,214.4664538,-801.4679926
CCA,20,0,2060,storm,1153.096384,5.597972281,0.0048547306,-1147.498412,0,-1147.498412
NBA,20,0,2060,wave,1017.348462,967.2680522,0.9507735926,-50.08040984,214.4664538,164.386044
CCA,20,0,2060,wave,1153.096384,1038.150871,0.9003157802,-114.9455134,0,-114.9455134
NBA,20,0,2060,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,20,0,2060,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,20,0,2060,total,1017.348462,992.2462391,0.9753258359,-25.10222288,214.4664538,189.3642309
CCA,20,0,2060,total,1153.096384,1072.561601,0.9301578048,-80.53478275,0,-80.53478275
NBA,20,0,2100,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,20,0,2100,tide,1153.096384,2055.283641,1.7824040293,902.187257,0,902.187257
NBA,20,0,2100,storm,1017.348462,141.2781341,0.1388689710,-876.0703279,214.4664538,-661.6038741
CCA,20,0,2100,storm,1153.096384,454.5992017,0.3942421536,-698.4971823,0,-698.4971823
NBA,20,0,2100,wave,1017.348462,8631.030971,8.4838492350,7613.682509,214.4664538,7828.148963
CCA,20,0,2100,wave,1153.096384,9127.060904,7.9152627925,7973.96452,0,7973.96452
NBA,20,0,2100,erosion,1017.348462,1290.901568,1.2688883070,273.5531055,214.4664538,488.0195594
CCA,20,0,2100,erosion,1153.096384,1550.213579,1.3443920215,397.1171947,0,397.1171947
