type,storm,discount,climate,hazard,net,net_ecosystem,ecosystem
NBA,200,5,Current,tide,-1017.347966,-974.9209232,0
CCA,200,5,Current,tide,-1153.095768,-1153.095768,0
NBA,200,5,Current,storm,-1017.338796,-974.9117524,0
CCA,200,5,Current,storm,-1153.086122,-1153.086122,0
NBA,200,5,Current,wave,-1009.39656,-966.9695164,0
CCA,200,5,Current,wave,-1144.329968,-1144.329968,0
NBA,200,5,Current,erosion,-994.9589265,-952.5318833,0
CCA,200,5,Current,erosion,-1125.720958,-1125.720958,0
NBA,200,5,Current,total,-986.9968621,-944.5698189,0
CCA,200,5,Current,total,-1116.943665,-1116.943665,0
NBA,200,5,2030,tide,-1017.310128,-974.8830844,0
CCA,200,5,2030,tide,-1153.048735,-1153.048735,0
NBA,200,5,2030,storm,-1017.25222,-974.8251771,0
CCA,200,5,2030,storm,-1152.708602,-1152.708602,0
NBA,200,5,2030,wave,-951.8373561,-909.4103129,0
CCA,200,5,2030,wave,-1082.840551,-1082.840551,0
NBA,200,5,2030,erosion,-773.3329538,-730.9059106,0
CCA,200,5,2030,erosion,-854.7414483,-854.7414483,0
NBA,200,5,2030,total,-707.6872718,-665.2602286,0
CCA,200,5,2030,total,-784.0501843,-784.0501843,0
NBA,200,5,2060,tide,-1017.313208,-974.8861646,0
CCA,200,5,2060,tide,-1153.052564,-1153.052564,0
NBA,200,5,2060,storm,-1017.248716,-974.8216731,0
CCA,200,5,2060,storm,-1152.732758,-1152.732758,0
NBA,200,5,2060,wave,-947.6215837,-905.1945405,0
CCA,200,5,2060,wave,-1078.001116,-1078.001116,0
NBA,200,5,2060,erosion,-912.4896592,-870.062616,0
CCA,200,5,2060,erosion,-1024.88674,-1024.88674,0
NBA,200,5,2060,total,-842.6277811,-800.2007379,0
CCA,200,5,2060,total,-949.3840264,-949.3840264,0
NBA,200,5,2100,tide,-1017.313208,-974.8861646,0
CCA,200,5,2100,tide,-1086.905921,-1086.905921,0
NBA,200,5,2100,storm,-1016.500608,-974.0735646,0
CCA,200,5,2100,storm,-1150.03862,-1150.03862,0
NBA,200,5,2100,wave,-867.1441551,-824.7171119,0
CCA,200,5,2100,wave,-993.8455722,-993.8455722,0
NBA,200,5,2100,erosion,-702.1556374,-659.7285942,0
CCA,200,5,2100,erosion,-770.5328723,-770.5328723,0
NBA,200,5,2100,total,-496.9789308,-454.5518876,0
CCA,200,5,2100,total,-542.0338335,-542.0338335,0
