type,slr,storm,discount,climate,hazard,net,net_ecosystem,ecosystem
NBA,high,100,1,Current,erosion,-76.365043,-94.189392,-17.824349
NBA,high,100,1,2030,erosion,101.708305,88.594384,-13.113922
NBA,high,100,1,2060,erosion,375.835512,358.379870,-17.455642
NBA,high,100,1,2100,erosion,617.137403,635.346643,18.209240
NBA,high,100,1,Current,event,0.000673,-0.011842,-0.012514
NBA,high,100,1,2030,event,-8.911403,-8.923917,-0.012514
NBA,high,100,1,2060,event,-20.587588,-20.509792,0.077796
NBA,high,100,1,2100,event,-39.448243,-39.211303,0.236940
NBA,high,100,1,Current,flood,-100.997336,-118.821685,-17.824349
NBA,high,100,1,2030,flood,92.144141,78.978821,-13.165320
NBA,high,100,1,2060,flood,343.463997,325.541243,-17.922754
NBA,high,100,1,2100,flood,642.505915,637.018438,-5.487478
NBA,high,100,1,Current,total,-187.776747,-205.613611,-17.836863
NBA,high,100,1,2030,total,-27.609101,-40.735537,-13.126436
NBA,high,100,1,2060,total,204.673660,187.295814,-17.377846
NBA,high,100,1,2100,total,382.746823,400.995034,18.248211
CCA,high,100,1,Current,erosion,-791.561343,-791.561343,0
CCA,high,100,1,2030,erosion,-617.348882,-617.348882,0
CCA,high,100,1,2060,erosion,-1439.128749,-1439.128749,0
CCA,high,100,1,2100,erosion,-2074.869284,-2074.869284,0
CCA,high,100,1,Current,event,0.000673,0.000673,0
CCA,high,100,1,2030,event,-8.837643,-8.837643,0
CCA,high,100,1,2060,event,-20.761635,-20.761635,0
CCA,high,100,1,2100,event,-35.706231,-35.706231,0
CCA,high,100,1,Current,flood,-832.288779,-832.288779,0
CCA,high,100,1,2030,flood,-667.069945,-667.069945,0
CCA,high,100,1,2060,flood,-1496.766399,-1496.766399,0
CCA,high,100,1,2100,flood,-2150.721100,-2150.721100,0
CCA,high,100,1,Current,total,-902.973047,-902.973047,0
CCA,high,100,1,2030,total,-746.592528,-746.592528,0
CCA,high,100,1,2060,total,-1588.212975,-1588.212975,0
CCA,high,100,1,2100,total,-2257.112272,-2257.112272,0
