type,slr,storm,discount,climate,hazard,net,net_ecosystem,ecosystem
NBA,high,100,1,Current,erosion,-73.105052,-90.929401,-17.824349
NBA,high,100,1,2030,erosion,142.26375,129.149828,-13.113922
NBA,high,100,1,2060,erosion,460.111919,442.656278,-17.455641
NBA,high,100,1,2100,erosion,813.984853,832.194093,18.20924
NBA,high,100,1,Current,event,0.000673,-0.011842,-0.012515
NBA,high,100,1,2030,event,-8.911403,-8.923917,-0.012514
NBA,high,100,1,2060,event,-20.587588,-20.509792,0.077796
NBA,high,100,1,2100,event,-39.448243,-39.211303,0.23694
NBA,high,100,1,Current,flood,-97.737345,-115.561693,-17.824348
NBA,high,100,1,2030,flood,132.699586,119.534266,-13.16532
NBA,high,100,1,2060,flood,427.740404,409.81765,-17.922754
NBA,high,100,1,2100,flood,839.353365,833.865888,-5.487477
NBA,high,100,1,Current,total,-184.516756,-222.941679,-38.424923
NBA,high,100,1,2030,total,12.946344,-13.800922,-26.747266
NBA,high,100,1,2060,total,288.950067,262.880027,-26.07004
NBA,high,100,1,2100,total,579.594273,551.941577,-27.652696
CCA,high,100,1,Current,erosion,-788.308496,-788.308496,0
CCA,high,100,1,2030,erosion,-576.799835,-576.799835,0
CCA,high,100,1,2060,erosion,-1354.862471,-1354.862471,0
CCA,high,100,1,2100,erosion,-1878.031964,-1878.031964,0
CCA,high,100,1,Current,event,0.000673,0.000673,0
CCA,high,100,1,2030,event,-8.837643,-8.837643,0
CCA,high,100,1,2060,event,-20.761635,-20.761635,0
CCA,high,100,1,2100,event,-35.706231,-35.706231,0
CCA,high,100,1,Current,flood,-829.035932,-829.035932,0
CCA,high,100,1,2030,flood,-626.520897,-626.520897,0
CCA,high,100,1,2060,flood,-1412.500121,-1412.500121,0
CCA,high,100,1,2100,flood,-1953.88378,-1953.88378,0
CCA,high,100,1,Current,total,-899.7202,-899.7202,0
CCA,high,100,1,2030,total,-706.043481,-706.043481,0
CCA,high,100,1,2060,total,-1503.946697,-1503.946697,0
CCA,high,100,1,2100,total,-2060.274951,-2060.274951,0
