type,climate,hazard,damages,diff
CCA,Current,storm,3304846.109,581459.6626
CCA,2030,storm,6189058.665,13953082.61
CCA,2060,storm,6563709.021,66499091.9
CCA,2100,storm,12000709.37,308418526
NBA,Current,storm,2953242.183,933063.5881
NBA,2030,storm,9570764.784,10356055.61
NBA,2060,storm,25456469.84,47197506.71
NBA,2100,storm,158173171.6,161304404.8
CCA,Current,wave,767930975.9,870581121.8
CCA,2030,wave,777176184.9,1714421453
CCA,2060,wave,790228530.7,2217111389
CCA,2100,wave,799064970.9,3005868254
NBA,Current,wave,851372871.6,787139226.1
NBA,2030,wave,860496968.7,1631100669
NBA,2060,wave,888054593.5,2119285326
NBA,2100,wave,996736177.2,2808197047
CCA,Current,erosion,0,0
CCA,2030,erosion,39071181.88,431162955.4
CCA,2060,erosion,39307307.3,735754200.8
CCA,2100,erosion,42307339.32,780745703.9
NBA,Current,erosion,0,0
NBA,2030,erosion,117598953.2,352635184.1
NBA,2060,erosion,164702147.8,610359360.3
NBA,2100,erosion,172808289.1,650244754.1
CCA,Current,tide,0,0
CCA,2030,tide,3734044.249,9702.071936
CCA,2060,tide,15888835.04,203138.5394
CCA,2100,tide,71159378.02,99910177.27
NBA,Current,tide,0,0
NBA,2030,tide,3735940.781,7805.540474
NBA,2060,tide,15836456.95,255516.6256
NBA,2100,tide,89899403.11,81170152.18
existing,Current,tide,18486071.99,0
existing,2030,tide,3743746.321,0
existing,2060,tide,16091973.58,0
existing,2100,tide,171069555.3,0
existing,Current,storm,3886305.771,0
existing,2030,storm,21215041.63,0
existing,2060,storm,75295922.6,0
existing,2100,storm,324798391.3,0
existing,Current,wave,1637250122,0
existing,2030,wave,2490390872,0
existing,2060,wave,3006308574,0
existing,2100,wave,3803871433,0
existing,Current,erosion,0,
existing,2030,erosion,469902801.3,0
existing,2060,erosion,774686201.2,0
existing,2100,erosion,822615034.3,0
